energy_bins,effective_area_m2,effective_area_m2_error
2.025,0.0,0.0
2.075,0.0,0.0
2.125,0.0,0.0
2.175,0.0,0.0
2.225,0.0,0.0
2.275,0.0,0.0
2.325,0.0,0.0
2.375,0.0,0.0
2.425,0.0,0.0
2.475,0.0,0.0
2.525,0.0,0.0
2.575,0.0,0.0
2.625,0.0,0.0
2.675,0.0,0.0
2.725,0.0,0.0
2.775,0.0,0.0
2.825,0.0,0.0
2.875,0.0,0.0
2.925,0.0,0.0
2.975,0.0,0.0
3.025,0.0,0.0
3.075,0.0,0.0
3.125,0.0,0.0
3.1750000000000003,0.0,0.0
3.225,0.0,0.0
3.275,0.0,0.0
3.325,0.0,0.0
3.375,0.0,0.0
3.4250000000000003,0.0,0.0
3.475,0.0,0.0
3.525,0.0,0.0
3.575,0.0,0.0
3.625,0.0,0.0
3.6750000000000003,0.0,0.0
3.725,0.0,0.0
3.775,0.0,0.0
3.825,0.0,0.0
3.875,0.0,0.0
3.9250000000000003,0.0,0.0
3.975,0.0,0.0
4.025,0.0,0.0
4.075,0.0,0.0
4.125,0.0,0.0
4.175000000000001,1.7697153998879184e-05,1.7697153998879184e-05
4.225,0.00010857649113063604,4.8876149539954026e-05
4.275,0.00022789768987039588,6.985802230587108e-05
4.325,0.0003607867470605896,9.217283709386497e-05
4.375,0.0013816145798043302,0.00035165430234426927
4.425000000000001,0.0022331745004614332,0.0004947246885493282
4.475,0.0027120657953605388,0.00048214751486231
4.525,0.0048904469576992885,0.0009229281946989167
4.575,0.005109407173551699,0.000809892437008154
4.625,0.006195446597506155,0.0009849099235414453
4.675000000000001,0.009554921463482692,0.0013704135055057208
4.725,0.013751328899832847,0.0017995860748405946
4.775,0.014704040009406236,0.0019773432425284755
4.825,0.021990238046853575,0.0028011078285570183
4.875,0.0268645616129416,0.0027076507876537814
4.925000000000001,0.03963385529732162,0.003977496122447756
4.975,0.04283258720336692,0.004007245816629548
5.025,0.046442546095115805,0.0035292430614895813
5.075,0.05741778200958562,0.006199034125181109
5.125,0.07165366208892238,0.006631767460866561
5.175000000000001,0.06747224816200262,0.006319654285256869
5.225,0.08607984549455688,0.007703088159559636
5.275,0.11148633585494593,0.011174825220374537
5.325,0.11269435633509986,0.007493509826852427
5.375,0.11293066941258247,0.011392715421738711
5.425000000000001,0.14278722422706663,0.013383047233459441
5.475,0.1380183017336806,0.01198134942170988
5.525,0.1701913129649403,0.017035107375388752
5.575,0.201079086499818,0.02405142530998851
5.625,0.19331206970131767,0.01756397725479659
5.675000000000001,0.22892913053449485,0.02334330805693521
5.725,0.27148030535930046,0.02902159640163218
5.775,0.2898776654886061,0.03358892967285348
5.825,0.30817576275492753,0.032895263522437844
5.875,0.383646824814249,0.043905735871976506
5.925000000000001,0.38365772848544594,0.04941065281134455
5.975,0.38338149554304657,0.044784495141595146
6.025,0.42119705939607166,0.05098943420797985
6.075,0.4858742815968382,0.07004137551477303
6.125,0.4887382322192673,0.04948667914911328
6.175000000000001,0.6110908161971843,0.06420167372744719
6.225,0.6071282273343183,0.06538826887874886
6.275,0.7258439753706433,0.09651081670800093
6.325,0.7439607593131845,0.06110894116372914
6.375,0.7729069362175098,0.08136192602076424
6.425000000000001,0.8071251359302638,0.07588674655967906
6.475,1.0147459100689833,0.10903795644945992
6.525,0.9539776084258356,0.10097837024582958
6.575,1.4535335497911575,0.2269730519396695
6.625,1.6634492570532817,0.21646989796470834
6.675000000000001,1.881295888224277,0.24243125869599408
6.725,4.2107765709933505,0.49990153964708023
6.775,37.40014713089116,8.0761388263881
6.825000000000001,34.57720604200078,6.759161242270126
6.875,4.755695728644915,0.7051510930402098
6.925000000000001,3.0390613856638056,0.3967449877363647
6.975,2.58591564611787,0.31270082142896716
