energy_bins,effective_area_m2,effective_area_m2_error
2.025,0.0,0.0
2.075,0.0,0.0
2.125,0.0,0.0
2.175,0.0,0.0
2.225,0.0,0.0
2.275,0.0,0.0
2.325,0.0,0.0
2.375,0.0,0.0
2.425,0.0,0.0
2.475,0.0,0.0
2.525,0.0,0.0
2.575,0.0,0.0
2.625,0.0,0.0
2.675,0.0,0.0
2.725,0.0,0.0
2.775,0.0,0.0
2.825,0.0,0.0
2.875,0.0,0.0
2.925,0.0,0.0
2.975,0.0,0.0
3.025,0.0,0.0
3.075,0.0,0.0
3.125,0.0,0.0
3.1750000000000003,0.0,0.0
3.225,0.0,0.0
3.275,0.0,0.0
3.325,0.0,0.0
3.375,0.0,0.0
3.4250000000000003,0.0,0.0
3.475,0.0,0.0
3.525,0.0,0.0
3.575,0.0,0.0
3.625,0.0,0.0
3.6750000000000003,0.0,0.0
3.725,0.0,0.0
3.775,0.0,0.0
3.825,0.0,0.0
3.875,0.0,0.0
3.9250000000000003,0.0,0.0
3.975,0.0,0.0
4.025,0.0,0.0
4.075,0.0,0.0
4.125,0.0,0.0
4.175000000000001,1.9034139487631414e-05,1.9034139487631414e-05
4.225,0.00034370795613884367,0.00015635221718336695
4.275,0.0005263551755013735,0.00021113443470920158
4.325,0.0010245223315154734,0.00031179044986040256
4.375,0.001428069997512752,0.000316743518741438
4.425000000000001,0.0033123652563768324,0.000554199490235857
4.475,0.004725552863663826,0.0006081052932002153
4.525,0.006984511592906341,0.0008042079636576432
4.575,0.009671753283273346,0.0010275126577451567
4.625,0.01641441661195766,0.001498799814634509
4.675000000000001,0.02214378908326228,0.001895498237424837
4.725,0.036351131097341526,0.002677792656426145
4.775,0.045214081559106875,0.002969014345459006
4.825,0.07209483954031422,0.004563527527088715
4.875,0.08132426755402244,0.004703903277452456
4.925000000000001,0.09825226978688037,0.005343388768429829
4.975,0.12353523892395349,0.006796837772379056
5.025,0.14947907859942294,0.008082399838627952
5.075,0.17781429058039053,0.00903464219740803
5.125,0.18692747176758076,0.009134027914055164
5.175000000000001,0.20017578181577617,0.010689591765505303
5.225,0.24002521585394515,0.01276937077553383
5.275,0.2568484055348222,0.014947976972629968
5.325,0.2695016513688263,0.01605131450453989
5.375,0.282519820163597,0.016687265232106858
5.425000000000001,0.2999221699184898,0.02059798387216448
5.475,0.35939786921114586,0.02543196988124312
5.525,0.36892567614021327,0.02484276066705344
5.575,0.35074375250311085,0.020887504366682328
5.625,0.3773741367868198,0.02941005320200519
5.675000000000001,0.44219334670801363,0.03511644765779083
5.725,0.41770222267113366,0.030173419888637348
5.775,0.518909620044459,0.04486514709322809
5.825,0.4704102715450856,0.03393654377653397
5.875,0.5864861002810069,0.04611248827244666
5.925000000000001,0.5413664452687261,0.04803248411031026
5.975,0.6135453971724302,0.05796389494227229
6.025,0.6366916975085278,0.0697502252715433
6.075,0.6062433406831536,0.05285386156731539
6.125,0.717193676221326,0.08865613048368981
6.175000000000001,0.7430171728516737,0.06893949810140719
6.225,0.8384443392827674,0.09618354157373743
6.275,0.8673528305732358,0.10387394103284735
6.325,0.8098564251925753,0.08602585713916278
6.375,1.0779585038011141,0.14287361458318376
6.425000000000001,1.10364633505967,0.17100989291122598
6.475,1.0055683880873807,0.08800055658301183
6.525,1.124001345846134,0.16629732274896264
6.575,1.4365698692447364,0.19087774982912492
6.625,2.103756438471568,0.31860666438696106
6.675000000000001,3.042220745596129,0.4000216757278123
6.725,5.261355345357217,1.1556723185940185
6.775,47.07541654132505,9.484848216913653
6.825000000000001,41.12602895569546,8.057313340417773
6.875,7.162118606177535,1.5875254815481155
6.925000000000001,3.678282450768032,0.6602702229529981
6.975,2.7348080670696455,0.32145415662096755
