energy,events
112201.84543019629,67.92906966830785
125892.54117941661,73.18098420692488
141253.75446227554,63.29129842649263
158489.3192461114,55.986566527939374
177827.94100389228,50.08606957096697
199526.2314968879,44.836737635457666
223872.11385683378,39.784687626179334
251188.6431509582,35.21167308054811
281838.2931264455,31.411118587062106
316227.7660168379,27.98514332619925
354813.3892335753,24.81742034782968
398107.1705534969,22.042754604875086
446683.5921509635,19.52973270783309
501187.2336272725,17.2779785196293
562341.3251903491,15.296704206666732
630957.344480193,13.558828934017242
707945.7843841374,11.914876656025058
794328.2347242822,10.460917037118065
891250.9381337459,9.247223954400283
1000000.0,8.177584084306545
1122018.4543019629,7.212063133005017
1258925.411794166,6.364589942153771
1412537.5446227554,5.618680125148671
1584893.1924611141,4.991820074452107
1778279.410038923,4.440869968951574
1995262.3149688789,3.986644235742233
2238721.138568338,3.4967499950053025
2511886.4315095823,2.9883627917326976
2818382.931264455,2.5848694773293346
3162277.6601683795,2.2341374459189183
3548133.892335753,1.9809133188267651
3981071.7055349695,1.8372532002526896
4466835.921509635,1.8195175814265667
5011872.336272725,2.1679604341015875
5623413.251903491,3.0794677349899757
6309573.44480193,3.889921941553098
7079457.843841373,3.406772368788552
7943282.347242822,2.0278214307104463
8912509.381337458,1.0695528563542211
10000000.0,0.53957004854567
