energy_bins,effective_area_m2,effective_area_m2_error
105.92537251772886,0.0,0.0
118.85022274370189,0.0,0.0
133.3521432163324,0.0,0.0
149.6235656094433,0.0,0.0
167.88040181225605,0.0,0.0
188.36490894898,0.0,0.0
211.34890398366477,0.0,0.0
237.13737056616552,0.0,0.0
266.0725059798809,0.0,0.0
298.538261891796,0.0,0.0
334.9654391578276,0.0,0.0
375.8374042884443,0.0,0.0
421.6965034285823,0.0,0.0
473.15125896148027,0.0,0.0
530.8844442309885,0.0,0.0
595.6621435290103,0.0,0.0
668.3439175686149,0.0,0.0
749.8942093324558,0.0,0.0
841.3951416451947,0.0,0.0
944.0608762859235,0.0,0.0
1059.2537251772887,0.0,0.0
1188.502227437019,0.0,0.0
1333.521432163324,0.0,0.0
1496.2356560944343,0.0,0.0
1678.8040181225606,0.0,0.0
1883.6490894898002,0.0,0.0
2113.489039836648,0.0,0.0
2371.373705661655,0.0,0.0
2660.7250597988113,0.0,0.0
2985.3826189179604,0.0,0.0
3349.654391578276,0.0,0.0
3758.374042884443,0.0,0.0
4216.965034285822,0.0,0.0
4731.512589614807,0.0,0.0
5308.8444423098845,0.0,0.0
5956.621435290103,0.0,0.0
6683.439175686149,0.0,0.0
7498.942093324558,0.0,0.0
8413.951416451957,0.0,0.0
9440.608762859236,0.0,0.0
10592.537251772897,0.0,0.0
11885.022274370189,0.0,0.0
13335.21432163324,0.0,0.0
14962.35656094436,1.9034139487631414e-05,1.9034139487631414e-05
16788.040181225588,0.00034370795613884367,0.00015635221718336695
18836.49089489802,0.0006283492389878531,0.00022565652987323253
21134.890398366475,0.0017917571143680779,0.0004185195802349953
23713.737056616552,0.0029432765020832386,0.000537353274500314
26607.25059798814,0.006942578635353525,0.0008900972204628113
29853.82618917957,0.013899842126202024,0.0013852837722763205
33496.54391578279,0.02067605555157609,0.001809715747592375
37583.74042884443,0.035694124895066216,0.002442838168265304
42169.65034285822,0.054940593619993934,0.0032974446732428504
47315.12589614812,0.08831205686520746,0.004552709659682536
53088.444423098794,0.12925880640772236,0.005941182918940734
59566.214352901094,0.18598274589856872,0.007450313410185405
66834.39175686149,0.2808749684774888,0.009814292622846476
74989.42093324558,0.3758487636243975,0.012075839783030994
84139.51416451964,0.501288697755009,0.015014253231671151
94406.08762859226,0.6693244438826902,0.018228730335025277
105925.37251772897,0.8571653676296268,0.02178111594428774
118850.22274370189,1.0739206326695385,0.02634920762390983
133352.1432163324,1.3094478943815195,0.03126808985576694
149623.56560944358,1.6471536605867525,0.036731488214028905
167880.4018122559,2.033277832742745,0.04531783299262669
188364.9089489802,2.491752541464138,0.05297387842634162
211348.90398366476,2.864828069617533,0.06049981710127788
237137.37056616554,3.4147434401706858,0.07069242416243769
266072.5059798814,3.8419928927130838,0.07965637042485176
298538.26189179573,4.3768833807521705,0.09075345270130815
334965.43915782793,4.750593074491494,0.0992651532636488
375837.4042884443,5.410325566980034,0.11583617646051926
421696.5034285823,5.905751652294268,0.12674258925517254
473151.2589614813,6.658345068816577,0.14387252201426645
530884.4442309879,7.072716010849024,0.15236075126524537
595662.1435290109,7.752626542054834,0.1656775604309107
668343.9175686149,8.749223903393139,0.19288905958396593
749894.2093324559,9.349066618320638,0.21164288767131512
841395.1416451965,10.239234250198441,0.23846059305579215
944060.8762859226,10.879542894357186,0.2648822380021811
1059253.7251772897,12.132917706634576,0.29681369519017914
1188502.2274370189,12.511729339625385,0.31765972576955914
1333521.432163324,13.932216648657288,0.35937944410858574
1496235.6560944358,14.136703643051616,0.3617715083685439
1678804.018122559,15.23233261411234,0.4115066680201804
1883649.089489802,16.32650084693653,0.4600644919176155
2113489.0398366475,16.492852720384846,0.48853706116086304
2371373.7056616554,18.31603976982998,0.5481298723354328
2660725.059798814,19.03076374232032,0.5691877930636006
2985382.618917957,20.20928755404544,0.6265624524137878
3349654.3915782794,22.299442408601045,0.7211239046931638
3758374.0428844434,23.626867072062918,0.7909263079688555
4216965.034285823,25.77280906309594,0.9089461710361909
4731512.589614812,28.433294115438517,1.0149840297209882
5308844.442309879,30.148646165226598,1.4998647952108657
5956621.435290109,74.98920154239912,9.542179777500767
6683439.175686163,69.29611267127585,8.14036570444612
7498942.093324558,38.35416187244853,2.0856591928441124
8413951.416451965,33.830588050033654,1.3444714356323613
9440608.762859225,38.63741312023712,1.6242022459162357
