energy_bins,effective_area_m2,effective_area_m2_error
2.025,0.0,0.0
2.075,0.0,0.0
2.125,0.0,0.0
2.175,0.0,0.0
2.225,0.0,0.0
2.275,0.0,0.0
2.325,0.0,0.0
2.375,0.0,0.0
2.425,0.0,0.0
2.475,0.0,0.0
2.525,0.0,0.0
2.575,0.0,0.0
2.625,0.0,0.0
2.675,0.0,0.0
2.725,0.0,0.0
2.775,0.0,0.0
2.825,0.0,0.0
2.875,0.0,0.0
2.925,0.0,0.0
2.975,0.0,0.0
3.025,0.0,0.0
3.075,0.0,0.0
3.125,0.0,0.0
3.1750000000000003,0.0,0.0
3.225,0.0,0.0
3.275,0.0,0.0
3.325,0.0,0.0
3.375,0.0,0.0
3.4250000000000003,0.0,0.0
3.475,0.0,0.0
3.525,0.0,0.0
3.575,0.0,0.0
3.625,0.0,0.0
3.6750000000000003,0.0,0.0
3.725,0.0,0.0
3.775,0.0,0.0
3.825,0.0,0.0
3.875,0.0,0.0
3.9250000000000003,0.0,0.0
3.975,0.0,0.0
4.025,0.0,0.0
4.075,0.0,0.0
4.125,0.0003251169963130479,0.0001367268577096881
4.175000000000001,0.0007907837044159436,0.00019556081914448613
4.225,0.0021547400417901152,0.000311522480164395
4.275,0.010278817797583812,0.0008268784387508525
4.325,0.02018292395047859,0.0011118062849448792
4.375,0.04400617349462299,0.001860715363401821
4.425000000000001,0.07354455305831824,0.0024637140443578343
4.475,0.1220971821936702,0.0035394886981143093
4.525,0.183235333294503,0.004718632190445126
4.575,0.2620711670813203,0.006143820429486632
4.625,0.36472920813696413,0.007506795826886466
4.675000000000001,0.5144492359428207,0.009504719789922837
4.725,0.7579141125327788,0.012805759056309127
4.775,0.9975449575421419,0.01567268968255583
4.825,1.3193855887100072,0.019669630631358435
4.875,1.6122866360423531,0.023091206452778134
4.925000000000001,1.9726593427805328,0.027130429021822045
4.975,2.4155208180410255,0.03186047160218491
5.025,2.917382635574506,0.0383735143058747
5.075,3.26403773867945,0.042815317297957345
5.125,3.8069327523031555,0.050904083076608105
5.175000000000001,4.210628168159714,0.05631158974879618
5.225,4.583483341726583,0.06313406563866084
5.275,4.955561982058814,0.07071599539101357
5.325,5.344235698870357,0.0751152842698405
5.375,5.86840263988043,0.08841333798497836
5.425000000000001,6.2953534579693855,0.09363945073339178
5.475,6.930025414149373,0.111021155224159
5.525,7.157788750853366,0.11569603436099532
5.575,7.925007512076215,0.13149595412666804
5.625,8.409009366568101,0.1466561928248846
5.675000000000001,8.85278370729664,0.15810489610481104
5.725,9.474686354521529,0.17379003990559547
5.775,10.13683683810903,0.19178283996563056
5.825,10.383241574180524,0.19978171945677786
5.875,10.839715811926933,0.21787831666385246
5.925000000000001,11.218200074025205,0.22753667181558962
5.975,12.667099136525295,0.2758295159213428
6.025,13.21057583285318,0.28305864127166536
6.075,13.973967442400086,0.31621563790944895
6.125,14.500969691942874,0.337149191621757
6.175000000000001,15.576824575620588,0.38149850813783986
6.225,16.959456896390485,0.42843651166860847
6.275,17.166338229504465,0.42919586931371995
6.325,18.5505876577458,0.4936411759291479
6.375,19.48262584677761,0.5397505471081048
6.425000000000001,20.867954577906946,0.6115464723499776
6.475,20.921158778800613,0.6086883547308888
6.525,24.33818660758001,0.7679625139916069
6.575,25.562886636707184,0.8317035235666542
6.625,28.566102375082533,1.046523830660042
6.675000000000001,33.84379409530778,1.305313474629063
6.725,56.657039577545575,2.8451790239600103
6.775,357.44617657751155,24.781400581433576
6.825000000000001,396.8126093389969,27.814208704035618
6.875,58.317775435798815,2.682920134663914
6.925000000000001,37.511603377775856,1.499314867974216
6.975,37.127383571529485,1.6851915561076378
