,Bin_Center,Total_Events
0,10592.537251772897,0.007812556409176533
1,11885.022274370165,0.007104470462521193
2,13335.21432163324,0.09153329274870105
3,14962.356560944329,0.14950949745072462
4,16788.040181225588,0.5388416557768642
5,18836.49089489802,1.7698433188027622
6,21134.890398366435,4.708533182364176
7,23713.737056616552,4.026062718621042
8,26607.25059798803,8.277433991813798
9,29853.82618917957,18.425669436298097
10,33496.543915782655,10.93181498015911
11,37583.74042884436,10.719165236544505
12,42169.65034285822,12.022540879130808
13,47315.12589614793,10.06297485516371
14,53088.444423098794,10.279375263619446
15,59566.21435290085,11.03851322199568
16,66834.39175686135,11.10094489594402
17,74989.42093324527,11.65296836965927
18,84139.5141645193,10.799443600428623
19,94406.08762859226,10.569164282546481
20,105925.37251772854,0.0
