,Bin_Center,Total_Events
0,105925.37251772897,62.28702853262323
1,118850.22274370166,59.62484978812504
2,133352.1432163324,51.610054345265475
3,149623.5656094433,45.80942131110725
4,167880.4018122559,38.49245146834536
5,188364.9089489802,34.30556564897972
6,211348.90398366432,28.276405180950245
7,237137.37056616554,24.08288501370512
8,266072.5059798803,20.735252990286554
9,298538.26189179573,17.559370387789986
10,334965.43915782793,14.873243741351947
11,375837.40428844356,12.788505403892866
12,421696.5034285823,10.619931713265965
13,473151.2589614793,9.168113246902683
14,530884.4442309879,7.688801460526453
15,595662.1435290085,6.578465181585433
16,668343.9175686135,5.534566129233041
17,749894.2093324559,4.516626367411478
18,841395.141645193,3.928954295370341
19,944060.8762859226,3.3742770472630266
20,1059253.7251772855,2.742249308112674
21,1188502.2274370166,2.3888865632361904
22,1333521.4321633186,1.9343633692980147
23,1496235.6560944298,1.7352582687908111
24,1678804.018122559,1.4106705112636748
25,1883649.0894897943,1.2475521676713317
26,2113489.0398366433,1.0641413561065254
27,2371373.7056616456,0.866770663089028
28,2660725.059798803,0.7237200194334216
29,2985382.618917945,0.6005183715731697
30,3349654.3915782655,0.49271329764086486
31,3758374.0428844355,0.462890121442546
32,4216965.034285805,0.3823304760450382
33,4731512.589614793,0.41749138081498777
34,5308844.442309857,0.5823666550713649
35,5956621.435290085,0.9936078083401958
36,6683439.175686108,0.888909198601276
37,7498942.093324527,0.34753071511630795
38,8413951.416451931,0.21364035659713948
39,9440608.762859188,0.10082206318370374
40,10592537.251772854,0.03309764322085079
41,11885022.274370117,0.01290169138307361
42,13335214.321633186,0.004681674417459951
43,14962356.560944267,0.0015720975276047509
44,16788040.18122552,0.0005315867829552941
45,18836490.894897945,0.00024320849783304223
46,21134890.398366347,8.18480416034623e-05
47,23713737.056616455,9.993198644177596e-05
48,26607250.597987924,0.00021611837207575436
49,29853826.18917945,6.315849097403791e-05
50,33496543.91578259,0.0
51,37583740.4288442,1.9319548768869345e-05
52,42169650.342858054,0.00013180399141709843
53,47315125.896147735,5.817947239496298e-05
54,53088444.42309857,0.0
55,59566214.35290061,2.339220108576388e-05
56,66834391.756861076,0.0
57,74989420.93324512,5.29656037447294e-05
58,84139514.16451895,0.0
59,94406087.62859188,1.4735850316623234e-05
60,105925372.5177281,0.0
