,nu_e,nu_mu,nu_tau,total,with_resolution,interval_center
"(11420.689, 14896.249]",800.7529316661763,0.0,56.85977520249275,857.6127068686691,1600.3730004262084,13043.213833084275
"(14896.249, 19429.496]",5835.436268871987,333.18288668228934,804.7067519641772,6973.325907518453,8873.190331807597,17012.5427364784
"(19429.496, 25342.307]",18502.838222356946,1645.3375817927767,3806.1069898898263,23954.28279403955,26254.32718875079,22189.8231738622
"(25342.307, 33054.513]",34005.05780270551,3821.3782751843387,10730.497103941838,48556.933181831686,49425.405877370664,28942.660834510207
"(33054.513, 43113.709]",67389.39457006246,10828.56831784159,27855.98675085896,106073.949638763,106195.7449690715,37750.53184550804
"(43113.709, 56234.133]",48964.03389184115,9694.348304601686,22503.492623883383,81161.87482032622,79887.02991727818,49238.82661101194
"(56234.133, 73347.382]",44656.96955046503,10354.129477528055,22032.27204069768,77043.37106869076,74843.80302069143,64223.254624705885
"(73347.382, 95668.559]",44013.5718024332,13111.467056166428,24868.406309310165,81993.4451679098,80156.82090371253,83767.76433904952
"(95668.559, 124782.547]",14793.951255086431,5189.995142699412,9591.09611754565,29575.042515331494,28726.337383043217,109260.08630712211
"(124782.547, 162756.545]",6113.500157085336,2571.2336814511063,4316.823851132039,13001.557689668482,12768.946128809424,142510.26708984908
"(162756.545, 212286.842]",1376.2902892074267,682.8816123480401,1096.2897023629469,3155.4616039184134,3411.270012890359,185879.18913337472
"(212286.842, 276890.268]",248.96858112272042,149.47166859460583,206.0702939171528,604.5105436344791,1011.9106536768945,242446.20140198868
"(276890.268, 361153.899]",692.3616732108094,458.322223121463,617.6016578999424,1768.285554232215,1543.5951619649004,316227.7658324059
"(361153.899, 471060.754]",355.3028541979214,258.5069738533885,322.79806832323436,936.6078963745442,879.4613803013015,412462.63827525015
"(471060.754, 614414.616]",34.16930435782169,26.07453392289584,31.239625916632406,91.48346419734993,196.44253591415674,537983.8401676954
"(614414.616, 801394.124]",118.10854767990043,98.35281894557377,114.07345075012904,330.53481737560327,338.12412815417724,701703.8285217748
"(801394.124, 1045275.495]",201.2860331133125,167.91223274735313,200.222786771369,569.4210526320346,560.4079226903445,915247.3106511657
"(1045275.495, 1363375.184]",216.8547945434647,187.48555363028575,215.03723400682586,619.3775821805764,607.85971437067,1193776.641724203
"(1363375.184, 1778279.41]",276.08775999145985,239.01734775013983,273.3502021810469,788.4553099226466,774.8459050627054,1557068.4049880921
"(1778279.41, 2319447.866]",137.5428471975688,116.33752109392947,140.93244144293578,394.81280973443404,388.3761177545143,2030917.6208493141
"(2319447.866, 3025305.457]",104.70413519486061,87.80987146659457,98.5682228165463,291.0822294780015,286.88451099527555,2648969.287522376
"(3025305.457, 3945970.609]",106.29449076102918,86.47079724153167,100.0056009834081,292.77088898596895,289.7388218883391,3455107.294509002
"(3945970.609, 5146813.857]",54.005015292495486,35.06655694460299,41.11769915148267,130.18927138858115,142.83544094774817,4506570.337819652
"(5146813.857, 6713099.387]",216.85124906006138,23.008369095879402,28.244391465189796,268.1040096211306,256.4430043720371,5878016.072488217
"(6713099.387, 8756039.101]",166.80282399421492,14.206079781764268,18.168387294168312,199.17729107014753,190.27228297915508,7666822.074462869
