,energy,event_morphology,drlogl,ra,dec
106,208503.4,Shower,0.00016272916,5.521599,0.8099826
107,148019.58,Shower,-0.012767853,4.4180946,-0.051510658
108,58908.6,Track,-0.70058405,6.268472,-0.031685382
109,50441.312,Shower,-0.014888378,4.987683,-1.0135843
110,414402.8,Shower,-0.044518795,5.1422167,-0.053649828
111,43037.96,Shower,0.0044455784,6.1171265,-0.83108
112,25377.516,Track,-0.41498727,2.4123392,-0.39140314
113,365926.28,Shower,-0.0076815793,0.050503824,-0.07856884
114,134191.77,Shower,-0.011541598,5.9437523,-0.72792405
115,26185.176,Track,-4.542129,3.8872235,-0.60210353
116,33987.527,Track,-3.8949692,5.5289583,-0.5303459
117,38244.44,Track,-10.379337,6.262244,-0.46702158
118,203453.11,Track,-10.012504,5.372871,-0.5645045
119,25753.693,Shower,-0.093289115,4.908848,0.56860673
120,89239.03,Track,-3.5725913,4.6930947,-0.29017043
121,4802843.0,Track,-9.229951,5.895516,-0.38393354
122,27528.482,Track,-3.3982227,1.1354569,-0.6489753
123,46130.05,Shower,-0.026943294,2.8296762,-0.8404606
124,42278.293,Shower,-0.11641476,4.412484,-0.0966388
125,31206.469,Track,-0.73943204,3.687541,-0.8502205
126,95120.484,Shower,0.014216844,4.458583,-0.18502487
127,69517.55,Shower,0.019624855,6.0175767,-0.9361611
128,22030.545,Shower,-0.17207769,5.3871455,-0.48859546
129,25568.033,Track,-2.360124,4.633395,-0.28033942
130,29679.123,Shower,-0.13373818,2.7102613,0.047533914
131,80238.47,Track,-10.963541,4.467692,-0.28873888
132,100457.0,Shower,-0.017861815,2.0945914,-0.24288926
133,30686.086,Shower,-0.15812874,0.67927706,-0.0060109007
134,114839.83,Shower,-0.023133678,4.27771,0.53619623
135,110755.61,Track,-1.8426824,2.5454357,0.60718644
136,29550.717,Track,-3.7113123,0.27934566,-0.31947622
137,22744.613,Track,-4.0548997,0.32108456,-0.5095813
138,100079.164,Shower,-0.0028839281,1.5994352,0.96423227
139,36993.34,Shower,-0.061882243,4.0521183,0.39178118
140,26971.697,Shower,-0.077920236,1.7491485,-0.34542742
141,80878.84,Track,-0.27512825,6.252322,0.91774213
142,35978.91,Shower,-0.05405794,5.8724637,-0.13317996
143,112262.16,Track,-4.853961,1.6871722,-0.070656024
144,78845.49,Track,-9.92694,3.851886,0.25359568
145,158442.8,Track,-2.3300905,3.8841841,-0.36397758
146,37913.48,Track,-0.7440582,4.6567163,0.14128317
147,98995.1,Shower,-0.00403799,3.672353,-0.28569728
148,44247.86,Track,-7.4181395,1.4785844,-0.7761143
149,98114.836,Shower,-0.03682949,0.5940117,-0.51738256
150,33534.773,Shower,-0.031000663,3.1378314,-0.09005603
151,76622.49,Track,-6.111502,2.9274347,-0.44810846
152,71863.92,Track,-2.84417,1.59449,0.683018
153,35731.258,Shower,0.10405058,4.3859653,-0.54234546
154,55166.504,Shower,-0.067692,0.4328122,0.17297411
155,27625.223,Shower,-0.14002062,2.2815807,0.5290971
156,111455.51,Track,-0.6213364,3.963834,0.025134869
157,67618.01,Track,-1.7935063,5.107744,0.34998605
158,25492.299,Track,-10.641099,4.845091,-0.37391454
159,70391.586,Shower,0.01604647,3.962043,0.2145183
160,104558.42,Shower,-0.016467778,1.0633477,-0.94007957
161,501922.56,Shower,-0.005279822,3.2245133,0.0077982084
162,54084.098,Shower,-0.019292928,3.65081,-0.6439671
163,122475.13,Shower,-0.039058194,2.6848195,-0.1582742
