,recoDepositedEnergy,recoMorphology,recoZenith,recoLength
0,40094.5703125,0,1.8270703554153442,
1,98474.578125,0,1.4227240085601807,
2,70592.5078125,1,0.9552649855613708,
3,184547.453125,0,0.9126873016357422,
4,27220.697265625,0,1.2361491918563843,
5,21233.8125,1,1.2047853469848633,
6,51900.21875,0,2.0946884155273438,
7,85419.1640625,0,1.2642697095870972,
8,74309.1015625,0,1.4948956966400146,
9,86480.1953125,0,0.8667189478874207,
10,252038.03125,0,2.0202202796936035,
11,1035479.625,0,1.5429260730743408,
12,51019.9375,0,0.5677031874656677,
13,30255.39453125,1,1.1628973484039307,
14,171397.40625,0,1.9636365175247192,
15,28886.294921875,1,1.116873025894165,
16,61686.45703125,0,0.5592789649963379,
17,1255736.25,0,0.42102599143981934,
18,26508.54296875,0,1.284034013748169,
19,195833.46875,0,1.1106257438659668,
20,86080.4453125,0,2.938802719116211,
21,27899.150390625,0,1.4657127857208252,
22,31755.53125,0,1.4951144456863403,
23,186558.625,0,2.0677058696746826,
24,52423.89453125,0,1.3677444458007812,
25,45565.3984375,1,0.35190701484680176,
26,27931.66796875,0,2.2445640563964844,
27,107340.828125,0,0.06610847264528275,
28,31077.705078125,2,2.524462938308716,18.212779998779297
29,333548.5,1,1.6727001667022705,
30,37420.3125,0,2.1044046878814697,
31,1799984.125,2,0.5554018616676331,16.2374267578125
32,23609.314453125,2,1.6721534729003906,10.5503511428833
33,23908.265625,1,1.9257616996765137,
34,186010.953125,1,1.8349400758743286,
35,88198.453125,0,1.3661432266235352,
36,175380.359375,1,1.0529940128326416,
37,85167.0703125,0,1.6673823595046997,
38,32440.328125,0,1.0599446296691895,
39,71842.3125,1,1.5989704132080078,
40,409560.3125,1,0.055354710668325424,
41,134221.28125,0,1.3480594158172607,
42,66663.140625,0,2.523169994354248,
43,102178.703125,0,1.1925050020217896,
44,51387.0859375,0,1.0685871839523315,
45,19914.587890625,0,2.538329601287842,
46,59696.09765625,0,2.7537858486175537,
47,122203.265625,0,0.5483760833740234,
48,42366.98046875,0,1.793353796005249,
49,98337.875,0,0.8602895140647888,
50,118801.9296875,0,1.0339771509170532,
51,50258.1015625,1,1.5574061870574951,
52,121114.0859375,0,1.5571563243865967,
53,86322.9140625,0,0.9718018770217896,
54,66750.6484375,0,1.0978033542633057,
55,39222.53515625,0,0.9923081994056702,
56,79398.8671875,0,2.614529609680176,
57,154762.21875,0,1.6154017448425293,
58,54265.30078125,0,1.3087581396102905,
59,88021.875,2,0.8304814100265503,16.60205078125
60,60255.66796875,1,1.2143632173538208,
61,33291.375,0,2.1585938930511475,
62,78055.796875,1,1.5626380443572998,
63,148418.296875,0,2.642620801925659,
64,125109.1015625,1,1.5444198846817017,
65,35785.56640625,0,1.6660140752792358,
66,51696.421875,1,1.7117526531219482,
67,140879.828125,0,1.5002877712249756,
68,77529.8203125,0,1.6516976356506348,
69,102387.4609375,1,1.6683650016784668,
70,147270.875,1,1.7527151107788086,
71,49665.76171875,0,0.9006069898605347,
72,618922.8125,0,1.2993662357330322,
73,53188.87109375,0,1.327879786491394,
74,139270.046875,1,1.5668141841888428,
75,104282.71875,1,0.8948932886123657,
76,44515.26953125,1,2.202345609664917,
77,128198.3671875,1,2.14949893951416,
78,131973.578125,0,1.5908657312393188,
79,50688.86328125,1,1.8434499502182007,
80,66152.109375,0,1.1811132431030273,
81,35120.625,0,1.7376662492752075,
82,54391.9609375,0,1.9306764602661133,
83,259968.828125,0,2.143528699874878,
84,164067.765625,0,1.202019214630127,
85,46774.734375,0,1.1024600267410278,
86,198916.359375,1,0.7019460797309875,
87,62969.078125,1,1.100975751876831,
88,81908.5625,0,1.0754117965698242,
89,41390.01171875,0,1.5037717819213867,
90,54963.3515625,1,1.1158831119537354,
91,120741.84375,0,0.13768939673900604,
92,49308.9609375,0,0.49896305799484253,
93,37379.87890625,0,1.4326280355453491,
94,395569.0,0,1.8924586772918701,
95,179897.546875,0,1.7693334817886353,
96,28828.390625,0,2.4720687866210938,
97,101133.0234375,0,0.8914018869400024,
98,60871.65625,1,1.2890658378601074,
99,41134.1484375,0,0.4336785674095154,
100,22613.66796875,0,1.9061532020568848,
101,114974.0,0,2.5926990509033203,
