LLH,norm,alpha,beta
77.78830744908822,1.5,2.2,0.0
67.14573910843329,1.5,2.2,0.05263157894736842
61.91905355828623,1.5,2.2,0.10526315789473684
59.844019442708266,1.5,2.2,0.15789473684210525
59.70454109775141,1.5,2.2,0.21052631578947367
60.90676131577562,1.5,2.2,0.2631578947368421
63.12343399697107,1.5,2.2,0.3157894736842105
66.06779041050599,1.5,2.2,0.3684210526315789
69.54022182466804,1.5,2.2,0.42105263157894735
73.39986716440404,1.5,2.2,0.47368421052631576
77.5449631903191,1.5,2.2,0.5263157894736842
81.90043687294312,1.5,2.2,0.5789473684210527
86.40987543606327,1.5,2.2,0.631578947368421
91.0302055715646,1.5,2.2,0.6842105263157894
95.72808727265478,1.5,2.2,0.7368421052631579
100.47741658136694,1.5,2.2,0.7894736842105263
105.25756073350652,1.5,2.2,0.8421052631578947
110.0520869675724,1.5,2.2,0.894736842105263
114.84783067250967,1.5,2.2,0.9473684210526315
119.63420121054408,1.5,2.2,1.0
67.41527756942598,1.5,2.2526315789473688,0.0
59.51211846375465,1.5,2.2526315789473688,0.05263157894736842
56.03688238298993,1.5,2.2526315789473688,0.10526315789473684
55.09225141555275,1.5,2.2526315789473688,0.15789473684210525
55.797463889525815,1.5,2.2526315789473688,0.21052631578947367
57.71504765763643,1.5,2.2526315789473688,0.2631578947368421
60.49621141719215,1.5,2.2526315789473688,0.3157894736842105
63.89398813601915,1.5,2.2526315789473688,0.3684210526315789
67.73771482288427,1.5,2.2526315789473688,0.42105263157894735
71.90641867575037,1.5,2.2526315789473688,0.47368421052631576
76.31236444549486,1.5,2.2526315789473688,0.5263157894736842
80.89061798043778,1.5,2.2526315789473688,0.5789473684210527
85.59226143042797,1.5,2.2526315789473688,0.631578947368421
90.37987729541946,1.5,2.2526315789473688,0.6842105263157894
95.22447407555502,1.5,2.2526315789473688,0.7368421052631579
100.10334798423594,1.5,2.2526315789473688,0.7894736842105263
104.99856540200884,1.5,2.2526315789473688,0.8421052631578947
109.8958654463934,1.5,2.2526315789473688,0.894736842105263
114.78385250572788,1.5,2.2526315789473688,0.9473684210526315
119.65339268449124,1.5,2.2526315789473688,1.0
58.808070878691204,1.5,2.305263157894737,0.0
53.034448832766714,1.5,2.305263157894737,0.05263157894736842
50.87144519842589,1.5,2.305263157894737,0.10526315789473684
50.84373742854505,1.5,2.305263157894737,0.15789473684210525
52.31022495867314,1.5,2.305263157894737,0.21052631578947367
54.833675861440156,1.5,2.305263157894737,0.2631578947368421
58.097348690293636,1.5,2.305263157894737,0.3157894736842105
61.887620343724464,1.5,2.305263157894737,0.3684210526315789
66.05641917642536,1.5,2.305263157894737,0.42105263157894735
70.49850060913369,1.5,2.305263157894737,0.47368421052631576
75.1373596802682,1.5,2.305263157894737,0.5263157894736842
79.91627093855004,1.5,2.305263157894737,0.5789473684210527
84.79244747326122,1.5,2.305263157894737,0.631578947368421
89.73314205160283,1.5,2.305263157894737,0.6842105263157894
94.71298497297049,1.5,2.305263157894737,0.7368421052631579
99.71212685779543,1.5,2.305263157894737,0.7894736842105263
104.71491659490613,1.5,2.305263157894737,0.8421052631578947
109.70894248092517,1.5,2.305263157894737,0.894736842105263
114.68432475889124,1.5,2.305263157894737,0.9473684210526315
119.633185471483,1.5,2.305263157894737,1.0
51.90164796763408,1.5,2.3578947368421055,0.0
47.642254381388426,1.5,2.3578947368421055,0.05263157894736842
46.423330272915926,1.5,2.3578947368421055,0.10526315789473684
47.15802547494348,1.5,2.3578947368421055,0.15789473684210525
49.2486382010659,1.5,2.3578947368421055,0.21052631578947367
52.26763373312002,1.5,2.3578947368421055,0.2631578947368421
55.93339787566276,1.5,2.3578947368421055,0.3157894736842105
60.05609106875922,1.5,2.3578947368421055,0.3684210526315789
64.50414450510277,1.5,2.3578947368421055,0.42105263157894735
69.18405155161082,1.5,2.3578947368421055,0.47368421052631576
74.02784905719076,1.5,2.3578947368421055,0.5263157894736842
78.98516055000619,1.5,2.3578947368421055,0.5789473684210527
84.01801146456705,1.5,2.3578947368421055,0.631578947368421
89.09736838961554,1.5,2.3578947368421055,0.6842105263157894
94.2007751785882,1.5,2.3578947368421055,0.7368421052631579
99.31070260933546,1.5,2.3578947368421055,0.7894736842105263
104.41337241828124,1.5,2.3578947368421055,0.8421052631578947
109.49790339870779,1.5,2.3578947368421055,0.894736842105263
114.55568060330837,1.5,2.3578947368421055,0.9473684210526315
119.57988207728188,1.5,2.3578947368421055,1.0
46.75423462352038,1.5,2.4105263157894736,0.0
43.366184081065924,1.5,2.4105263157894736,0.05263157894736842
42.791133160005266,1.5,2.4105263157894736,0.10526315789473684
44.0937094245834,1.5,2.4105263157894736,0.15789473684210525
46.64683259395845,1.5,2.4105263157894736,0.21052631578947367
50.046740618192736,1.5,2.4105263157894736,0.2631578947368421
54.030899130294614,1.5,2.4105263157894736,0.3157894736842105
58.423320470351854,1.5,2.4105263157894736,0.3684210526315789
63.10264319728866,1.5,2.4105263157894736,0.42105263157894735
67.9829884298842,1.5,2.4105263157894736,0.47368421052631576
73.00217285450735,1.5,2.4105263157894736,0.5263157894736842
78.1142610067716,1.5,2.4105263157894736,0.5789473684210527
83.28473804159556,1.5,2.4105263157894736,0.631578947368421
88.48730233561423,1.5,2.4105263157894736,0.6842105263157894
93.70168282568343,1.5,2.4105263157894736,0.7368421052631579
98.91211964061316,1.5,2.4105263157894736,0.7894736842105263
104.10628383750057,1.5,2.4105263157894736,0.8421052631578947
109.27449424534049,1.5,2.4105263157894736,0.894736842105263
114.40913958960931,1.5,2.4105263157894736,0.9473684210526315
119.50424528972287,1.5,2.4105263157894736,1.0
43.56642945186721,1.5,2.463157894736842,0.0
40.38978641446717,1.5,2.463157894736842,0.05263157894736842
40.13112970735579,1.5,2.463157894736842,0.10526315789473684
41.74367186339934,1.5,2.463157894736842,0.15789473684210525
44.578419667248696,1.5,2.463157894736842,0.21052631578947367
48.231519126710225,1.5,2.463157894736842,0.2631578947368421
52.44106229082963,1.5,2.463157894736842,0.3157894736842105
57.033591076656,1.5,2.463157894736842,0.3684210526315789
61.89084620763604,1.5,2.463157894736842,0.42105263157894735
66.92997995233075,1.5,2.463157894736842,0.47368421052631576
72.09152389924151,1.5,2.463157894736842,0.5263157894736842
77.33187927735321,1.5,2.463157894736842,0.5789473684210527
82.61850577260878,1.5,2.463157894736842,0.631578947368421
87.9267583786383,1.5,2.463157894736842,0.6842105263157894
93.23775477475793,1.5,2.463157894736842,0.7368421052631579
98.53690257271165,1.5,2.463157894736842,0.7894736842105263
103.81285916327674,1.5,2.463157894736842,0.8421052631578947
109.05678177866116,1.5,2.463157894736842,0.894736842105263
114.26177661616659,1.5,2.463157894736842,0.9473684210526315
119.42248739909643,1.5,2.463157894736842,1.0
42.74529854251735,1.5,2.515789473684211,0.0
39.062885315527886,1.5,2.515789473684211,0.05263157894736842
38.647674355072695,1.5,2.515789473684211,0.10526315789473684
40.25890340324351,1.5,2.515789473684211,0.15789473684210525
43.165877759868756,1.5,2.515789473684211,0.21052631578947367
46.921558065303536,1.5,2.515789473684211,0.2631578947368421
51.24628103808076,1.5,2.515789473684211,0.3157894736842105
55.95679461797027,1.5,2.515789473684211,0.3684210526315789
60.929204856122716,1.5,2.515789473684211,0.42105263157894735
66.07811748606814,1.5,2.515789473684211,0.47368421052631576
71.34310455914434,1.5,2.515789473684211,0.5263157894736842
76.68040747950609,1.5,2.515789473684211,0.5789473684210527
82.0577135952901,1.5,2.515789473684211,0.631578947368421
87.45077842184234,1.5,2.515789473684211,0.6842105263157894
92.84118268445059,1.5,2.515789473684211,0.7368421052631579
