energy_bins,effective_area_m2,effective_area_m2_error
2.025,0.0,0.0
2.075,0.0,0.0
2.125,0.0,0.0
2.175,0.0,0.0
2.225,0.0,0.0
2.275,0.0,0.0
2.325,0.0,0.0
2.375,0.0,0.0
2.425,0.0,0.0
2.475,0.0,0.0
2.525,0.0,0.0
2.575,0.0,0.0
2.625,0.0,0.0
2.675,0.0,0.0
2.725,0.0,0.0
2.775,0.0,0.0
2.825,0.0,0.0
2.875,0.0,0.0
2.925,0.0,0.0
2.975,0.0,0.0
3.025,0.0,0.0
3.075,0.0,0.0
3.125,0.0,0.0
3.1750000000000003,0.0,0.0
3.225,0.0,0.0
3.275,0.0,0.0
3.325,0.0,0.0
3.375,0.0,0.0
3.4250000000000003,0.0,0.0
3.475,0.0,0.0
3.525,0.0,0.0
3.575,0.0,0.0
3.625,0.0,0.0
3.6750000000000003,0.0,0.0
3.725,0.0,0.0
3.775,0.0,0.0
3.825,0.0,0.0
3.875,0.0,0.0
3.9250000000000003,0.0,0.0
3.975,0.0,0.0
4.025,0.0,0.0
4.075,0.0,0.0
4.125,0.0,0.0
4.175000000000001,0.0,0.0
4.225,0.00011534447207322845,8.174896593380776e-05
4.275,0.0005029352509671375,0.00020752242659592191
4.325,0.001233769283880865,0.0003227998380995908
4.375,0.0024658240397246877,0.0004956213066428853
4.425000000000001,0.004658338348103051,0.000715154854710194
4.475,0.008923665052193235,0.0010175337928108497
4.525,0.01640092521386646,0.001508268869582603
4.575,0.022236388222948145,0.0019408262606786175
4.625,0.03497426344934366,0.002498560756290653
4.675000000000001,0.0566569338774609,0.003485799113491298
4.725,0.07240795909343128,0.004104439166338999
4.775,0.10834479913671856,0.005320741647799104
4.825,0.15067882143300318,0.0065089887938930115
4.875,0.2085927382649184,0.008215553645849033
4.925000000000001,0.29811530026252797,0.010658092324509413
4.975,0.36097361988374965,0.012331836933686098
5.025,0.42677664189443787,0.014102954399539453
5.075,0.5096503941774209,0.0164619634993761
5.125,0.6585570367956196,0.020390618690560743
5.175000000000001,0.786659369342067,0.02362935074494024
5.225,0.8780950652964677,0.026149529196788507
5.275,1.037435207018494,0.030725332312759458
5.325,1.1242455412923213,0.03353889285391873
5.375,1.3044431696151062,0.038815104701831644
5.425000000000001,1.413779822078896,0.04270962129475182
5.475,1.6902487151591183,0.04975358194905655
5.525,1.8469037547144316,0.05458279677880251
5.575,1.9702723998815728,0.060000978923353945
5.625,2.2385302540503433,0.06876869237039995
5.675000000000001,2.297385970747753,0.07157507072465476
5.725,2.8070032035671937,0.08810839712729278
5.775,2.944337894673785,0.09175283516723388
5.825,3.152575834041245,0.10141552634352513
5.875,3.3509013060174,0.11098305195674714
5.925000000000001,3.5215724489235583,0.11632071380071693
5.975,3.67001476937292,0.1254789051119044
6.025,4.260059718146582,0.14743457719254233
6.075,4.589056650509658,0.16273749445043764
6.125,4.725146118975821,0.1743971255131285
6.175000000000001,4.9228849841532245,0.1810504124530428
6.225,5.756579736750285,0.21885073354753468
6.275,5.572411367235592,0.21479319961061388
6.325,6.143069028303086,0.23929011349705914
6.375,6.091131084448375,0.25328004664923204
6.425000000000001,7.191679916433365,0.30103768381940543
6.475,6.922714624897304,0.28058455144478567
6.525,8.054154176703362,0.3411207972144692
6.575,8.334511087856038,0.3824836295992575
6.625,8.361256882883119,0.3842973002905674
6.675000000000001,8.644612689199406,0.39723189691426714
6.725,10.514725184132107,0.5015649497365027
6.775,9.588789313360852,0.4701240144861934
6.825000000000001,11.19074494834741,0.5563655979203455
6.875,11.814762909869017,0.6256436207128923
6.925000000000001,10.805952696787966,0.605302437026252
6.975,11.333342569228737,0.5805200671304885
